log_id,training_set,deletion_percentage,training_set_size,highest_recall,iter_highest_recall,iter_recall_90,iter_recall_95,initial_recall,last_recall,highest_precision,iter_highest_precision,iter_precision_90,iter_precision_95,initial_precision,last_precision,number_of_AL_iter,cases_per_iter,total_number_labeled_cases,approach,num_traces_log,num_events_log,num_activities_model,num_constraints_norm,num_constraints_audit,labeled_population,perc_anomalies_in_population,perc_anomalies_in_sample
1,32,0.5,106,0.6666666666666666,2,,,0.6521739130434783,0.5,1.0,1,1.0,1.0,1.0,1.0,11,5,111,1,10000,114552,19,19,13,520,0.05,0.0283018867924528
1,34,0.25,143,0.9642857142857144,7,4.0,4.0,0.7931034482758621,0.9375,1.0,1,1.0,1.0,1.0,1.0,11,5,148,1,10000,114552,19,19,14,1394,0.05,0.0839160839160839
1,34,0.5,81,0.875,4,,,0.6956521739130435,0.75,1.0,1,1.0,1.0,1.0,1.0,11,5,86,1,10000,114552,19,19,13,520,0.05,0.037037037037037
1,36,0.5,114,0.8333333333333334,4,,,0.7619047619047619,0.5,1.0,1,1.0,1.0,1.0,1.0,11,5,119,1,10000,114552,19,19,13,520,0.05,0.043859649122807
1,37,0.5,114,0.8,4,,,0.75,0.75,1.0,1,1.0,1.0,1.0,1.0,11,5,119,1,10000,114552,19,19,13,520,0.05,0.0526315789473684
1,38,0.25,77,0.75,4,,,0.6984126984126984,0.5555555555555556,1.0,1,1.0,1.0,1.0,1.0,11,5,82,1,10000,114552,19,19,14,1394,0.05,0.0909090909090909
1,39,0.25,138,0.75,9,,,0.6666666666666666,0.6842105263157895,1.0,1,1.0,1.0,1.0,1.0,11,5,143,1,10000,114552,19,19,14,1394,0.05,0.0507246376811594
1,41,0.5,98,0.95,1,1.0,1.0,0.95,0.8,1.0,1,1.0,1.0,1.0,1.0,11,5,103,1,10000,114552,19,19,13,520,0.05,0.0612244897959183
1,42,0.25,115,0.7254901960784313,3,,,0.6885245901639344,0.5625,1.0,1,1.0,1.0,1.0,1.0,11,5,120,1,10000,114552,19,19,14,1394,0.05,0.0782608695652174
1,42,0.5,115,0.9166666666666666,2,2.0,,0.8235294117647058,0.9166666666666666,1.0,1,1.0,1.0,1.0,1.0,11,5,120,1,10000,114552,19,19,13,520,0.05,0.0782608695652174
1,43,0.25,121,0.96,8,7.0,8.0,0.7833333333333333,0.96,1.0,1,1.0,1.0,1.0,1.0,11,5,126,1,10000,114552,19,19,14,1394,0.05,0.0826446280991735
1,43,0.5,74,0.9,3,3.0,,0.7777777777777778,0.8333333333333334,1.0,1,1.0,1.0,1.0,1.0,11,5,79,1,10000,114552,19,19,13,520,0.05,0.1081081081081081
1,44,0.25,131,0.9142857142857144,6,6.0,,0.711864406779661,0.9,1.0,1,1.0,1.0,1.0,1.0,11,5,136,1,10000,114552,19,19,14,1394,0.05,0.0839694656488549
1,46,0.25,100,0.7857142857142857,11,,,0.65625,0.7857142857142857,1.0,1,1.0,1.0,1.0,1.0,11,5,105,1,10000,114552,19,19,14,1394,0.05,0.06
1,46,0.5,131,0.8888888888888888,1,,,0.8888888888888888,0.8888888888888888,1.0,1,1.0,1.0,1.0,1.0,11,5,136,1,10000,114552,19,19,13,520,0.05,0.0610687022900763
1,48,0.5,116,0.8947368421052632,1,,,0.8947368421052632,0.7142857142857143,1.0,1,1.0,1.0,1.0,1.0,11,5,121,1,10000,114552,19,19,13,520,0.05,0.0603448275862069
1,50,0.5,142,0.9166666666666666,3,3.0,,0.7272727272727273,0.9166666666666666,1.0,1,1.0,1.0,1.0,1.0,11,5,147,1,10000,114552,19,19,13,520,0.05,0.028169014084507
3,1,0.25,141,0.8785425101214575,7,,,0.8375451263537906,0.8722466960352423,1.0,1,1.0,1.0,1.0,1.0,11,5,146,1,10000,114897,17,10,4,5662,0.05,0.0425531914893617
3,1,0.75,59,0.6666666666666666,1,,,0.6666666666666666,0.6666666666666666,1.0,1,1.0,1.0,1.0,1.0,11,5,64,1,10000,114897,17,10,5,128,0.05,0.0508474576271186
3,2,0.25,25,0.8275862068965517,5,,,0.7722419928825622,0.8051948051948052,1.0,1,1.0,1.0,1.0,1.0,11,5,30,1,10000,114897,17,10,4,5662,0.05,0.08
3,3,0.25,122,0.8991935483870968,7,,,0.8812949640287769,0.8947368421052632,1.0,1,1.0,1.0,1.0,1.0,11,5,127,1,10000,114897,17,10,4,5662,0.05,0.040983606557377
3,4,0.25,70,0.825531914893617,10,,,0.7642857142857142,0.8217391304347826,1.0,1,1.0,1.0,1.0,1.0,11,5,75,1,10000,114897,17,10,4,5662,0.05,0.0428571428571428
3,4,0.5,28,0.8,1,,,0.8,0.75,1.0,1,1.0,1.0,1.0,1.0,11,5,33,1,10000,114897,17,10,4,159,0.05,0.1071428571428571
3,5,0.25,51,0.7220216606498195,2,,,0.6595744680851063,0.7068965517241379,1.0,1,1.0,1.0,1.0,1.0,11,5,56,1,10000,114897,17,10,4,5662,0.05,0.0196078431372549
3,5,0.5,69,0.8,1,,,0.8,0.0,1.0,1,1.0,1.0,1.0,0.0,11,5,74,1,10000,114897,17,10,4,159,0.05,0.0434782608695652
3,6,0.25,69,0.8360655737704918,8,,,0.8351254480286738,0.8253275109170306,1.0,1,1.0,1.0,1.0,1.0,11,5,74,1,10000,114897,17,10,4,5662,0.05,0.0579710144927536
3,7,0.25,132,0.9958847736625516,7,1.0,1.0,0.956043956043956,0.9958847736625516,1.0,1,1.0,1.0,1.0,1.0,11,5,137,1,10000,114897,17,10,4,5662,0.05,0.0757575757575757
3,8,0.25,64,0.9641434262948207,6,1.0,3.0,0.9420289855072465,0.9601769911504424,1.0,1,1.0,1.0,1.0,1.0,11,5,69,1,10000,114897,17,10,4,5662,0.05,0.109375
3,9,0.25,81,0.8206106870229007,5,,,0.7659574468085106,0.7672413793103449,1.0,1,1.0,1.0,1.0,1.0,11,5,86,1,10000,114897,17,10,4,5662,0.05,0.0123456790123456
3,10,0.25,49,0.9130434782608696,11,5.0,,0.8821428571428571,0.9130434782608696,1.0,1,1.0,1.0,1.0,1.0,11,5,54,1,10000,114897,17,10,4,5662,0.05,0.0612244897959183
3,11,0.25,51,0.8947368421052632,11,,,0.697841726618705,0.8947368421052632,1.0,1,1.0,1.0,1.0,1.0,11,5,56,1,10000,114897,17,10,4,5662,0.05,0.0980392156862745
3,11,0.5,63,0.8333333333333334,1,,,0.8333333333333334,0.8333333333333334,1.0,1,1.0,1.0,1.0,1.0,11,5,68,1,10000,114897,17,10,4,159,0.05,0.0317460317460317
3,12,0.25,113,0.8407407407407408,3,,,0.8357142857142857,0.8260869565217391,1.0,1,1.0,1.0,1.0,1.0,11,5,118,1,10000,114897,17,10,4,5662,0.05,0.0265486725663716
3,12,0.5,93,0.6666666666666666,1,,,0.6666666666666666,0.6666666666666666,1.0,1,1.0,1.0,1.0,1.0,11,5,98,1,10000,114897,17,10,4,159,0.05,0.053763440860215
3,12,0.75,63,0.6666666666666666,1,,,0.6666666666666666,0.0,1.0,1,1.0,1.0,1.0,0.0,11,5,68,1,10000,114897,17,10,5,128,0.05,0.0476190476190476
3,13,0.25,99,0.8592057761732852,1,,,0.8592057761732852,0.8326180257510729,1.0,1,1.0,1.0,1.0,1.0,11,5,104,1,10000,114897,17,10,4,5662,0.05,0.0606060606060606
3,13,0.5,121,0.6666666666666666,1,,,0.6666666666666666,0.6666666666666666,1.0,1,1.0,1.0,1.0,1.0,11,5,126,1,10000,114897,17,10,4,159,0.05,0.0413223140495867
